"K230
Pin Number","K230D
Pin Number",Pin Name,Power Supply,IO Type,DIR,Function Description,,,,,
,,,,,,Function Number,Signal Name,Description,,,
—,A1,—,—,—,—,—,—,—,,,
A2,B8,USB0_DP,AVDD3P3_USB,USB,IO,—,USB0_DP,"USB2.0 Port0, Data Positive",,,
A3,—,USB1_VBUS,AVDD3P3_USB,USB,IO,—,USB1_VBUS,"USB2.0 Port1 USB 5-V Signal,Must be connected to 5V by a 30KΩ 1% accuracy resisitor.",,,
A4,—,USB1_DN,AVDD3P3_USB,USB,IO,—,USB1_DN,"USB2.0 Port1, Data negative",,,
A5,B14,MMC0_CLK,VDD3P3_SD/VDD1P8,MMC,O,—,MMC0_CLK,MMC0 CLK signal,,,
A6,C11,MMC0_RST_N,VDD3P3_SD/VDD1P8,MMC,O,—,MMC0_RST_N,MMC0 reset signal,,,
A7,B10,MMC0_D5,VDD3P3_SD/VDD1P8,MMC,IO,—,MMC0_D5,MMC0 data5,,,
A8,B15,CLK24M_XOUT,VDD1P8,LVCMOS18,COUT,—,CLK24M_XOUT,"OSC_24M_OUT for SOC, 1.8V",,,
A9,C13,TEST_EN,VDD1P8,LVCMOS18,I,—,TEST_EN,Test Mode select Pin,,,
A10,E14,INT2,AVDD1P8_LDO,PMU,I,—,INT2,PMU sub-system input channel2,,,
A11,—,INT3,AVDD1P8_LDO,PMU,I,—,INT3,PMU sub-system input channel3,,,
A12,D16,CLK32K768_XOUT,AVDD1P8_RTC,LVCMOS18,COUT,—,CLK32K768_XOUT,"OSC_32K768_OUT for PMU sub-system, 1.8V",,,
A13,—,VSS,—,—,G,—,VSS,GND,,,
A14,—,DDR_DQ19_DQB3,VDDIO_DDR,DDR,IO,1,DDR_DQ19_DQB3,Data Input/Output:LP3-DQ19;LP4-DQB3,,,
A15,—,DDR_DQS2N_DQSB0N,VDDIO_DDR,DDR,IO,1,DDR_DQS2N_DQSB0N,Read Strobe:LP3-DQS2N;LP4-DQSB0N,,,
A16,—,VSS,—,—,G,—,VSS,GND,,,
A17,—,DDR_DQ20_DQB4,VDDIO_DDR,DDR,IO,1,DDR_DQ20_DQB4,Data Input/Output:LP3-DQ20;LP4-DQB4,,,
A18,—,DDR_DQS0N_DQSB1N,VDDIO_DDR,DDR,IO,1,DDR_DQS0N_DQSB1N,Read Strobe:LP3-DQS0N;LP4-DQSB1N,,,
A19,—,VSS,—,—,G,—,VSS,GND,,,
