,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,A,NC,HPOUTL,MICPR,MIC_BIAS,MICNL,ADC_1,ADC_0,USB0_DN,USB0_ID,MMC0_D1,MMC0_D2,MMC0_D0,MMC0_D3,MMC0_CMD,CLK24M_XIN,NC,A
,B,GPIO44,HPOUTR,MICNR,CODEC_VCM,MICPL,ADC_2,USB0_VBUS,USB0_DP,USB0_TXRTUNE,MMC0_D5,MMC0_D6,MMC0_D7,MMC0_D4,MMC0_CLK,CLK24M_XOUT,VSS,B
,C,GPIO41,GPIO45,GPIO49,VSS,VSS,AVDD1P8_USB,AVDD3P3_USB,VSS,VDD3P3_SD,MMC0_STROBE,MMC0_RST_N,RSTN,TEST_EN,GPIO0,GPIO1,INT0,C
,D,GPIO39,GPIO40,GPIO48,AVDD1P8_CODEC,AVDD1P8_ADC,VSS,VSS,AVDD0P8_PLL,AVSS,VDD1P8,AVDD1P8_LDO,AVDD1P8_RTC,VSS,INT1,CLK32K768_XIN,CLK32K768_XOUT,D
,E,GPIO15,GPIO14,GPIO38,AVSS,AVSS,VDD0P8_CORE,VDD0P8_CORE,VDD1P8,VDD0P8_CORE,VDD0P8_CPU,VSS,VSS,OUT1,INT2,VSS,VSS,E
,F,GPIO17,GPIO16,VSS,"VDDIO
BANK3",VDD0P8_KPU,VDD0P8_KPU,VDD0P8_KPU,VSS,VDD0P8_CPU,VSS,VDDIO_DDR,VSS,OUT0,INT4,VDD1P1_DDR_VDD2,VDD1P1_DDR_VDDQ,F
,G,GPIO18,GPIO19,VSS,VSS,VDD0P8_KPU,VDD0P8_KPU,VDD0P8_KPU,VSS,VDD0P8_CPU,VSS,VDDIO_DDR,VSS,VSS,VSS,VSS,VSS,G
,H,GPIO21,GPIO20,VSS,"VDDIO
BANK1",VSS,VDD0P8_CORE,VSS,VDD0P8_CORE,VSS,VDD0P8_DDR_CORE,DDR_VREF,VAA_DDR,VSS,VDD1P8_DDR_VDD1,VSS,DDR_ZN,H
,J,GPIO22,GPIO23,GPIO24,VSS,VSS,VDD0P8_CORE,VSS,VDD0P8_CORE,VSS,VDD0P8_DDR_CORE,VDDIO_DDR,VSS,VSS,VSS,VSS,DDR_ZQ,J
,K,MIPI_RX2_CLK_N,MIPI_RX2_CLK_P,GPIO25,"VDDIO
BANK4",VSS,VDD0P8_CORE,VSS,VDD0P8_CORE,VSS,VDD0P8_DDR_CORE,VDDIO_DDR,VSS,VSS,VSS,VSS,VSS,K
,L,MIPI_RX2_D4_P,MIPI_RX2_D4_N,VSS,AVDD1P8_MIPI,VSS,VDD0P8_CORE,VSS,VDD0P8_CORE,VSS,VDD0P8_DDR_CORE,VDDIO_DDR,VSS,GPIO62,GPIO2,VSS,VDD1P1_DDR_VDDQ,L
,M,MIPI_RX2_D5_P,MIPI_RX2_D5_N,VSS,AVDD0P8_MIPI,VSS,AVDD1P8_MIPI,VSS,VDD0P8_CORE,VSS,VDD0P8_CORE,VSS,VSS,GPIO63,GPIO5,VDD1P1_DDR_VDD2,GPIO7,M
,N,MIPI_RX0_D1_N,MIPI_RX0_D1_P,GPIO60,VSS,AVDD0P8_MIPI,VSS,VSS,"VDDIO
BANK2",VSS,"VDDIO
BANK0","VDDIO
BANK5",VSS,GPIO6,GPIO4,GPIO3,GPIO8,N
,P,MIPI_RX0_CLK_N,MIPI_RX0_CLK_P,GPIO61,GPIO59,MIPI_ATB,MIPI_REXT,VSS,VSS,VSS,GPIO27,GPIO26,GPIO13,GPIO12,VSS,GPIO10,GPIO11,P
,R,VSS,MIPI_RX0_D0_N,MIPI_RX1_D2_P,MIPI_RX1_CLK_N,MIPI_RX1_D3_N,MIPI_TX1_D3_N,MIPI_TX1_D2_P,MIPI_TX0_D0_N,MIPI_TX0_CLK_N,MIPI_TX0_D1_N,GPIO33,GPIO32,GPIO31,GPIO30,GPIO29,GPIO28,R
,T,NC,MIPI_RX0_D0_P,MIPI_RX1_D2_N,MIPI_RX1_CLK_P,MIPI_RX1_D3_P,MIPI_TX1_D3_P,MIPI_TX1_D2_N,MIPI_TX0_D0_P,MIPI_TX0_CLK_P,MIPI_TX0_D1_P,GPIO37,GPIO36,VSS,GPIO35,GPIO34,NC,T
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total package Balls:256,,,,,,,,,
,,,,,,,,,Ball pitch:0.65mm,,,,,,,,,
,,,,,,,,,Ball diameter:0.30mm,,,,,,,,,
,,,,,,,,,Package size:11.0x11.0mm^2,,,,,,,,,
,,,,,,,,,Note: TOP view(Die face down),,,,,,,,,
