Pin Name,K230,数量,K230D,数量,所属模块,,,,,,,,,,,,,
,,390,,256,,,,,,,,,,,,,,
NC,A20、Y1、Y20,3,A1、A16、T1、T16,4,无定义,,,,,,,,,,,,,
USB0_ID,D3,5,A9,5,USB,,,,,,,,,,,,,
USB0_DP,A2,,B8,,,,,,,,,,,,,,,
USB0_DN,B2,,A8,,,,,,,,,,,,,,,
USB0_VBUS,C3,,B7,,,,,,,,,,,,,,,
USB0_TXRTUNE,D4,,B9,,,,,,,,,,,,,,,
USB1_ID,B3,5,-,,,,,,,,,,,,,,,
USB1_DN,A4,,-,,,,,,,,,,,,,,,
USB1_DP,B4,,-,,,,,,,,,,,,,,,
USB1_VBUS,A3,,-,,,,,,,,,,,,,,,
USB1_TXRTUNE,C4,,-,,,,,,,,,,,,,,,
MMC0_STROBE,B6,12,C10,12,MMC0,,,,,,,,,,,,,
MMC0_RST_N,A6,,C11,,,,,,,,,,,,,,,
MMC0_CLK,A5,,B14,,,,,,,,,,,,,,,
MMC0_CMD,D6,,A14,,,,,,,,,,,,,,,
MMC0_D0,D5,,A12,,,,,,,,,,,,,,,
MMC0_D1,C5,,A10,,,,,,,,,,,,,,,
MMC0_D2,B5,,A11,,,,,,,,,,,,,,,
MMC0_D3,C6,,A13,,,,,,,,,,,,,,,
MMC0_D4,D7,,B13,,,,,,,,,,,,,,,
MMC0_D5,A7,,B10,,,,,,,,,,,,,,,
MMC0_D6,B7,,B11,,,,,,,,,,,,,,,
MMC0_D7,C7,,B12,,,,,,,,,,,,,,,
CLK24M_XIN,B8,1,A15,1,system,,,,,,,,,,,,,
CLK24M_XOUT,A8,1,B15,1,,,,,,,,,,,,,,
CLK32K768_XIN,B12,1,D15,1,,,,,,,,,,,,,,
CLK32K768_XOUT,A12,1,D16,1,,,,,,,,,,,,,,
ANA_TS_VTEST,D8,1,,,,,,,,,,,,,,,,
TEST_EN,A9,1,C13,1,,,,,,,,,,,,,,
RSTN,B9,1,C12,1,,,,,,,,,,,,,,
BOOT0,C8,1,C14,1,,,,,,,,,,,,,,
BOOT1,C9,1,C15,1,,,,,,,,,,,,,,
INT0,C10,8,C16,6,PMU,,,,,,,,,,,,,
INT1,B10,,D14,,,,,,,,,,,,,,,
INT2,A10,,E14,,,,,,,,,,,,,,,
INT3,A11,,,,,,,,,,,,,,,,,
INT4,C12,,F14,,,,,,,,,,,,,,,
INT5,D12,,,,,,,,,,,,,,,,,
OUT0,B11,,F13,,,,,,,,,,,,,,,
OUT1,C11,,E13,,,,,,,,,,,,,,,
AVDD1P8_ADC,F8,7,D5,4,ADC,,,,,,,,,,,,,
ADC_0,C2,,A7,,,,,,,,,,,,,,,
ADC_1,D2,,A6,,,,,,,,,,,,,,,
ADC_2,B1,,B6,,,,,,,,,,,,,,,
ADC_3,G3,,,,,,,,,,,,,,,,,
ADC_4,C1,,,,,,,,,,,,,,,,,
ADC_5,D1,,,,,,,,,,,,,,,,,
AVDD1P8_CODEC,F7,9,D4,9,codec,,,,,,,,,,,,,
MIC_BIAS,E3,,A4,,,,,,,,,,,,,,,
CODEC_VCM,F3,,B4,,,,,,,,,,,,,,,
HPOUTL,G1,,A2,,,,,,,,,,,,,,,
HPOUTR,G2,,B2,,,,,,,,,,,,,,,
MICPL,E1,,B5,,,,,,,,,,,,,,,
MICNL,E2,,A5,,,,,,,,,,,,,,,
MICPR,F1,,A3,,,,,,,,,,,,,,,
MICNR,F2,,B3,,,,,,,,,,,,,,,
